orig_filename,new_filename
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 1.mps","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_1.mps"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 1_C01.mgr","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_1_C01.mgr"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 1_C01.mpr","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_1_C01.mpr"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 1_DUSB0_C01.sta","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_1_DUSB0_C01.sta"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 2.mps","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_2.mps"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 2_C01.mgr","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_2_C01.mgr"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 2_C01.mpr","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_2_C01.mpr"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 2_DUSB0_C01.sta","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_2_DUSB0_C01.sta"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 3.mps","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_3.mps"
"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr files\10182023 9pegmea 1 pegda 7.5 aerosil 380 constant 22.5 Litfsi Change/10182023  9 pegmea 1 pegda 7,5 wt aerosil 380 0 wt litfsi A4 _ 3_C01.mgr","C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\10182023_9_PEGMEA_1_PEGDA_7,5_Aerosil380_0_LiTFSI_A4_3_C01.mgr"
